,frame,x,y,photons,sx,sy,bg,lpx,lpy,ellipticity,net_gradient,mass,particle,length
0,0,7.471632,7.2405767,2277.3718,2.3597493,2.353348,1.2878765,0.096033916,0.0957662,0.0027127035,1071.2926,2277.3718,0,3
1,0,7.667076,17.595217,3107.0256,2.3115537,2.1902733,-1.9387493,0.07689424,0.073107675,0.052467063,1914.5623,3107.0256,1,3
2,1,6.8349943,7.539619,1193.9562,1.6637366,2.2820902,6.301477,0.10147766,0.1482502,0.27095932,851.1692,1193.9562,0,3
3,1,7.8016095,17.72579,2286.7983,2.3630922,1.8873985,6.4355726,0.10391802,0.08056293,0.20130138,1515.2838,2286.7983,1,3
4,2,7.60367,17.55232,3763.387,2.6994662,3.3031442,-11.582989,0.06877686,0.07360808,0.1827586,1016.66534,3763.387,1,3
5,2,7.7717733,7.3676686,5755.3584,3.5180433,3.6021032,-19.52963,0.055646505,0.054896723,0.023336353,913.5676,5755.3584,0,3
14,39,7.3460927,7.094082,8842.394,3.678005,3.6018002,-40.090527,0.026424356,0.02926544,0.020719051,1127.6816,8842.394,9,3
15,40,7.0258775,7.810954,3347.8315,2.3550243,2.5554488,-6.6895027,0.07090843,0.07557614,0.07843023,1474.6293,3347.8315,9,3
16,41,7.4755626,7.053891,3794.4622,2.839166,3.0984998,-13.994206,0.066263914,0.06702664,0.08369658,994.351,3794.4622,9,3
17,43,7.213606,6.4936595,1835.245,2.3630567,2.6131492,3.2161388,0.11189926,0.12523548,0.095705405,844.37,1835.245,10,9
18,44,7.509407,7.3430414,2836.1663,2.2434728,2.6371288,-6.9385858,0.07265826,0.08170267,0.14927447,1323.7587,2836.1663,10,9
19,45,7.4634867,8.088923,1886.238,1.885286,2.3507988,6.9239235,0.09028475,0.11684273,0.19802327,902.02686,1886.238,10,9
20,46,7.07812,6.9670095,3440.2756,2.5377483,2.82922,-8.929725,0.07161126,0.076668605,0.103021935,1186.2745,3440.2756,10,9
21,47,7.347493,7.3270626,662.84326,1.4502006,1.7327499,17.241926,0.14545745,0.18797593,0.16306414,888.83264,662.84326,10,9
22,48,7.142173,7.1742425,1799.5815,2.165795,2.3570776,1.2587826,0.09938617,0.10845715,0.0811524,905.1254,1799.5815,10,9
23,49,7.370242,6.770195,8590.264,3.5531225,4.0217423,-32.12017,0.041551612,0.030759363,0.11652159,1059.6315,8590.264,10,9
24,50,6.996782,7.541815,3798.8208,2.698158,2.9688802,-10.643597,0.069869645,0.073435895,0.09118662,1256.8002,3798.8208,10,9
25,51,7.151954,7.521927,6298.265,2.7126997,4.144231,-18.817987,0.05367136,0.05138705,0.34542748,1119.8177,6298.265,10,9
28,57,6.9145346,8.151183,3471.092,2.82664,3.1300101,-5.4730396,0.08234973,0.088835455,0.09692308,909.0961,3471.092,13,4
29,58,6.8139477,8.135699,1199.8138,2.0349898,1.8953633,8.830064,0.13424431,0.12271316,0.06861287,1010.3482,1199.8138,13,4
30,59,6.7423015,8.704386,1542.522,2.0590641,2.1028833,7.3160663,0.113372415,0.11628641,0.02083767,807.10315,1542.522,13,4
31,60,7.0019565,7.7617874,2707.7192,2.657723,2.8531265,-3.9712052,0.08940916,0.09464345,0.068487525,869.22614,2707.7192,13,4
35,69,7.235132,16.045,2920.3105,2.6958385,2.5200322,-1.8920598,0.091363534,0.08585923,0.065213956,1187.1425,2920.3105,16,3
36,70,7.4021354,16.081568,2246.1833,2.3577263,2.7816467,0.40041792,0.095174715,0.11235635,0.15239908,948.4055,2246.1833,16,3
37,71,8.1842575,16.934093,2665.9692,2.6192718,2.376821,-3.8889663,0.08907749,0.08210741,0.092564166,1122.1201,2665.9692,16,3
53,222,7.089961,8.558638,2171.4253,2.324631,3.1810632,0.2828586,0.09526682,0.13045974,0.26922828,902.6258,2171.4253,32,3
54,223,7.5125623,8.920656,1853.7556,2.183911,2.2791348,5.933334,0.10654417,0.11198417,0.04178062,1058.732,1853.7556,32,3
55,224,7.407452,8.895277,1406.294,1.8761888,2.3287942,8.967093,0.10986329,0.14433792,0.19435185,1124.9469,1406.294,32,3
58,282,7.2019134,6.9801226,3212.0342,2.5572298,3.696208,-5.319222,0.078704365,0.10158273,0.30814776,965.37317,3212.0342,35,8
59,283,7.184565,6.8643503,1490.1135,1.9676319,2.936356,6.811192,0.108850904,0.18015999,0.3299069,833.4072,1490.1135,35,8
60,284,7.3608932,7.150498,2726.223,2.4412103,3.5033386,-3.8079448,0.08331081,0.11037854,0.30317605,806.1404,2726.223,35,8
61,285,7.2469378,7.396508,4232.0586,2.9142132,3.2949834,-14.796333,0.06442792,0.06497088,0.115560584,943.7345,4232.0586,35,8
62,286,7.336729,6.8132033,2437.8494,2.2669492,2.6142468,2.4488142,0.09045236,0.10526316,0.13284808,1265.5404,2437.8494,35,8
63,287,7.5968413,6.9393835,3110.263,2.4906988,2.7540288,-8.100683,0.074319005,0.0793152,0.09561628,1233.9688,3110.263,35,8
64,288,7.6569123,7.334619,2455.1228,2.3767798,2.5040815,0.10681893,0.09127467,0.0961124,0.05083768,1187.6178,2455.1228,35,8
65,289,7.426933,7.2808867,2042.3975,2.4585614,2.3764892,-0.60155076,0.10195897,0.09868598,0.03338223,1123.0566,2042.3975,35,8
68,300,7.705597,16.879913,17472.66,2.6861417,2.1797307,-54.712566,0.031707305,0.027807336,0.18852732,8779.231,17472.66,38,47
69,301,7.652619,17.002377,29520.88,2.631517,2.1942794,-104.88441,0.023387183,0.021090433,0.16615416,15371.633,29520.88,38,47
70,302,7.6777945,17.158293,19001.355,2.7895281,2.3087204,-79.08385,0.028118396,0.026273983,0.17236169,8470.025,19001.355,38,47
71,303,7.8249664,17.203873,16902.94,2.5298028,2.4114094,-70.422295,0.02903438,0.028454857,0.046799466,6770.7256,16902.94,38,47
72,304,7.6671515,17.207878,20180.316,2.933365,2.4946542,-87.40086,0.026766796,0.02611694,0.14955892,6210.9297,20180.316,38,47
73,305,7.8689213,17.183365,15402.624,2.504006,2.204823,-48.258793,0.032463662,0.029856743,0.119481705,7215.617,15402.624,38,47
74,306,7.822361,17.214272,18737.604,2.6929936,2.3698394,-76.63247,0.02831243,0.026927965,0.119998135,7274.023,18737.604,38,47
75,307,7.840443,17.22907,23076.285,2.6523957,2.423465,-91.664055,0.025658598,0.024714,0.086310916,8500.833,23076.285,38,47
76,308,7.6486883,17.219229,19655.035,2.877893,2.468423,-95.28244,0.025410637,0.025384238,0.1422812,7602.5024,19655.035,38,47
77,309,7.75551,17.266542,22324.24,2.8654115,2.4592147,-92.599915,0.02604807,0.025008269,0.14175864,8620.137,22324.24,38,47
78,310,7.9024186,17.44451,21370.479,2.594526,2.5413086,-76.78618,0.027227541,0.026957696,0.020511419,8065.6675,21370.479,38,47
79,311,7.8531475,17.393349,17656.965,2.7288969,2.4110386,-56.877487,0.031565167,0.0294708,0.11647865,7638.816,17656.965,38,47
80,312,7.7522993,17.282955,23538.29,2.7881744,2.531318,-98.018814,0.02525613,0.024613323,0.09212352,7744.128,23538.29,38,47
81,313,7.7506413,17.244616,18300.58,2.600173,2.3980453,-60.66982,0.030053277,0.028697496,0.07773625,7009.3447,18300.58,38,47
