,frame,x,y,photons,sx,sy,bg,lpx,lpy,ellipticity,net_gradient,mass,particle,length
0,0,8.530223,11.210647,7328.303,3.3986552,3.6545312,-36.462303,0.032021195,0.01888618,0.07001611,1100.7853,7328.303,0,6
1,0,8.813039,19.511396,1135.3107,1.7023493,2.0998871,6.27929,0.107300736,0.13789041,0.1893139,1033.4078,1135.3107,1,20
2,1,8.373058,10.385935,1215.0839,1.7057967,2.0367658,10.231114,0.108989544,0.13645695,0.16249737,1159.5929,1215.0839,0,6
3,1,9.236045,20.329435,1563.0797,2.417711,2.3578453,3.9616287,0.12787022,0.12422093,0.02476132,806.0654,1563.0797,1,20
4,2,8.441639,18.880932,2027.7067,2.243067,2.458618,1.4329287,0.09709169,0.10678704,0.08767157,952.5449,2027.7067,1,20
5,2,8.574989,10.576062,1522.8907,2.0320175,1.8432336,11.195448,0.11891418,0.10519904,0.09290466,1292.5757,1522.8907,0,6
6,3,8.693313,19.394897,1809.5836,2.2857614,2.1609092,9.121311,0.1198933,0.11181015,0.054621704,1120.1422,1809.5836,1,20
7,3,8.808259,10.562385,1210.4594,2.0617807,1.9001794,7.4464216,0.13240209,0.11973534,0.07837948,953.0172,1210.4594,0,6
8,4,8.599644,10.35032,3514.6597,2.64301,3.115178,-7.4143744,0.07512344,0.08373351,0.15157022,1048.246,3514.6597,0,6
9,4,8.787522,18.834103,1201.9241,1.8805466,2.03407,4.8054304,0.11357372,0.12435721,0.07547599,974.1753,1201.9241,1,20
10,5,8.411322,19.120544,1413.5394,2.106642,2.0272024,11.005662,0.13050784,0.12415305,0.03770913,999.6705,1413.5394,1,20
11,5,9.013506,9.402329,3591.8264,2.3732476,2.718766,-8.268225,0.06786398,0.07482995,0.12708646,1333.0939,3591.8264,0,6
12,6,8.734612,19.264544,2169.157,2.0506191,2.5564332,2.2867556,0.08647835,0.10917475,0.1978593,1259.2201,2169.157,1,20
13,7,8.941756,19.516068,3449.3474,2.6332927,2.656535,-10.061948,0.07169552,0.07206237,0.00874908,1357.5253,3449.3474,1,20
14,8,8.726095,19.392515,2910.0679,2.4306922,2.4989839,-3.1214778,0.08158107,0.08360596,0.027327774,1336.3677,2910.0679,1,20
15,9,8.404208,19.490194,1369.8752,1.924297,1.7363911,13.149129,0.121969484,0.106879406,0.09764912,1388.0222,1369.8752,1,20
18,10,8.700177,19.278997,1790.2604,1.8458226,2.2495372,12.434794,0.09647797,0.123998426,0.17946565,1258.7528,1790.2604,1,20
19,11,8.608094,19.23591,2430.4146,1.9164224,2.4749775,5.6025405,0.07853284,0.10450387,0.22568089,1501.9053,2430.4146,1,20
20,12,8.752715,19.65976,3583.566,2.4451096,3.0800903,-5.955504,0.071818665,0.08579298,0.20615652,1256.8671,3583.566,1,20
21,13,8.758507,19.248854,3767.9277,2.5855465,2.8164344,-11.239003,0.06755737,0.07076169,0.08197879,1258.3752,3767.9277,1,20
22,14,8.603515,10.669902,3455.4536,2.4161234,2.5654707,-4.720785,0.07345602,0.07729965,0.05821439,1144.6781,3455.4536,3,7
23,14,8.718928,19.004375,1511.7686,1.7880676,2.1137383,10.084195,0.100510515,0.123685755,0.15407334,1098.9265,1511.7686,1,20
24,15,8.468265,10.936275,3115.7388,2.613994,2.5289354,-2.0982728,0.085865565,0.08329081,0.03253965,1113.4763,3115.7388,3,7
25,15,9.023082,19.147259,3395.1414,2.4133623,3.168856,-7.478891,0.07105329,0.08520582,0.23841211,996.588,3395.1414,1,20
26,16,9.179108,10.643477,3336.967,2.5934565,2.6560936,-6.4234056,0.07688273,0.07828366,0.02358241,1136.5035,3336.967,3,7
27,16,9.20061,19.25345,2016.2788,1.965054,2.2299619,4.8774104,0.08885232,0.10226254,0.118794784,1308.2164,2016.2788,1,20
28,17,8.899368,10.868717,4906.6147,2.6240435,3.098495,-18.511883,0.056328487,0.05824788,0.15312323,1270.3219,4906.6147,3,7
29,17,9.17325,19.324879,2390.2124,2.2413836,2.6003168,-4.2274055,0.08140631,0.09186712,0.13803442,1095.0887,2390.2124,1,20
30,18,8.774755,10.382896,3597.438,2.567824,2.516264,-16.898224,0.0606068,0.060326993,0.020079229,1356.5656,3597.438,3,7
31,18,9.020101,19.157978,1505.6456,1.7073231,1.9735037,5.9656076,0.09093688,0.107179,0.13487719,1314.9269,1505.6456,1,20
33,19,9.084015,19.27344,1183.7286,1.7356694,2.143217,9.202233,0.11163784,0.14583366,0.190157,1091.428,1183.7286,1,20
32,19,8.840444,10.395367,2498.4597,2.2106044,2.549967,-1.9771131,0.081729345,0.09317492,0.1330851,1284.7385,2498.4597,3,7
34,20,8.9871645,10.103002,1048.7589,1.8477033,2.0008793,16.014637,0.14425217,0.16149133,0.07655432,995.97876,1048.7589,3,7
36,23,8.986934,19.023674,3097.7642,2.715404,2.6999793,-10.264494,0.07462668,0.074430294,0.0056804544,1080.4773,3097.7642,5,4
37,24,8.960157,19.235693,1945.5726,2.1342127,2.3425357,3.7487102,0.09771015,0.10828474,0.088930555,1147.1459,1945.5726,5,4
38,25,8.771594,19.116215,1517.9672,1.862067,2.1353984,6.416652,0.10040594,0.11787211,0.12800018,1145.0812,1517.9672,5,4
39,26,9.125067,18.828491,2040.4971,1.9423562,3.310493,0.6615309,0.082691915,0.14218195,0.41327283,994.1938,2040.4971,5,4
