,frame,x,y,photons,sx,sy,bg,lpx,lpy,ellipticity,net_gradient,mass,particle,length
14,85,5.8283315,3.2373831,4194.371,2.7799935,3.1052017,-12.705689,0.0663829,0.06935867,0.10473013,1119.2963,4194.371,10,5
15,86,6.6043234,3.2748537,6243.377,2.567359,2.6085408,-26.628153,0.047659047,0.047890574,0.015787294,1921.3214,6243.377,10,5
16,87,5.926734,3.2538118,7653.5635,2.9901893,2.4317596,-33.50547,0.043021873,0.04185618,0.18675397,2621.3767,7653.5635,10,5
17,88,6.2110014,2.7839983,5900.6895,2.834263,2.3114612,-20.703537,0.05405285,0.04888358,0.18445778,2486.547,5900.6895,10,5
18,89,6.047813,2.970578,3992.0398,2.718245,2.1389422,-8.713627,0.0715588,0.059604034,0.21311647,1883.658,3992.0398,10,5
29,117,6.421043,18.141123,1998.6713,2.1464102,3.1829324,-1.701465,0.08873015,0.12624277,0.32565007,841.86884,1998.6713,19,4
30,118,6.3196273,19.150345,2176.7698,2.2141273,2.9703696,1.2583039,0.09206238,0.124926776,0.25459534,974.6622,2176.7698,19,4
31,119,6.3562446,17.519495,4414.0215,3.0162013,3.7360866,-14.546989,0.06505383,0.062538795,0.19268434,802.9329,4414.0215,19,4
32,120,6.201921,17.29542,1930.6908,2.3743699,2.388293,-0.89718807,0.10069629,0.10125527,0.005829757,807.47363,1930.6908,19,4
35,136,5.746601,3.0227945,1267.9386,2.1592147,1.8073308,0.6205484,0.11723649,0.09803654,0.16296846,959.622,1267.9386,22,8
36,137,5.800411,3.128006,1469.227,2.2100053,1.7515016,2.4072351,0.115777865,0.09045597,0.20746726,1058.9417,1469.227,22,8
37,138,5.9731336,3.4664252,1319.2686,2.0632768,1.9386109,0.40030643,0.10915914,0.102586284,0.060421295,1040.7667,1319.2686,22,8
38,139,5.4774423,3.689274,1209.6254,1.6954315,1.9355129,9.0939245,0.10689867,0.12584937,0.12404021,1190.4075,1209.6254,22,8
39,140,5.9443917,2.9823432,1301.7241,2.2182438,2.0557885,7.019675,0.13741137,0.12505503,0.073236,825.6963,1301.7241,22,8
