,frame,x,y,photons,sx,sy,bg,lpx,lpy,ellipticity,net_gradient,mass,particle,length
0,0,5.7082844,6.027079,4110.5186,2.084668,2.9710643,-5.8283186,0.05908505,0.079566754,0.29834306,1975.2611,4110.5186,0,16
1,1,5.712313,5.1782703,1607.5667,1.5165108,2.163752,9.780243,0.0796952,0.12189716,0.2991291,1561.8981,1607.5667,0,16
2,2,5.788188,5.5711155,1449.0603,1.2761784,1.8263611,19.243073,0.074503206,0.11736093,0.3012453,2087.118,1449.0603,0,16
3,3,5.693612,5.558931,1988.4011,1.5286883,2.165317,18.48408,0.07552611,0.11783074,0.2940118,2057.9924,1988.4011,0,16
4,4,5.821764,5.312456,3994.1992,1.7510296,2.0389748,-2.946935,0.052071765,0.060067054,0.14122055,3426.338,3994.1992,0,16
5,5,5.791686,5.4726,3212.288,1.7658833,2.076172,7.798207,0.06271528,0.07481121,0.14945234,2798.3623,3212.288,0,16
6,6,5.7810826,5.4905047,5378.8896,2.252392,3.1266754,-11.794387,0.053514082,0.06727111,0.27962074,2016.4084,5378.8896,0,16
7,7,5.8190985,5.400703,9685.684,2.3868673,4.028858,-21.647097,0.04164635,0.053868417,0.4075574,2541.956,9685.684,0,16
8,8,5.937619,5.6727552,3870.5854,2.0538518,2.623919,-3.004191,0.0613597,0.07688755,0.21725792,1903.9271,3870.5854,0,16
9,9,5.837601,5.4701695,4309.357,1.9668382,3.2508028,-4.916082,0.05525151,0.0853135,0.39496845,1967.4973,4309.357,0,16
10,10,5.8363876,5.398303,4043.4868,1.9113741,3.631568,0.6958153,0.057581633,0.10975842,0.473678,1473.4084,4043.4868,0,16
11,11,5.703338,5.6488724,5974.127,2.0085366,3.6500392,-5.366194,0.048191953,0.08136633,0.4497219,2513.4116,5974.127,0,16
12,12,5.6009345,5.6735806,3571.8997,2.2600517,3.169844,-0.64370435,0.07140779,0.09911902,0.2870148,1463.527,3571.8997,0,16
13,13,5.812955,5.259534,2985.92,1.8771616,2.766656,7.890713,0.06981417,0.10898345,0.32150522,1851.1046,2985.92,0,16
14,14,5.6772366,6.154937,2264.0598,1.7987341,2.7022276,10.90377,0.07993497,0.13202347,0.3343514,1360.8237,2264.0598,0,16
15,15,5.795936,7.462049,1397.0966,1.6750647,2.6882327,8.8305,0.09618249,0.17537087,0.37689,931.76733,1397.0966,0,16
24,66,6.409991,18.221058,1137.972,1.4661894,2.5186255,6.3648925,0.09060365,0.1740252,0.41786128,864.1473,1137.972,8,4
25,67,6.507883,18.882736,2298.7559,1.7379719,3.9325762,4.5427065,0.07222997,0.1857308,0.55805767,819.65405,2298.7559,8,4
26,68,6.795027,18.487131,1845.1354,1.669168,2.2743027,7.3321548,0.08012958,0.11453463,0.26607484,1510.9229,1845.1354,8,4
27,69,6.8802285,18.145836,843.5324,1.3125364,2.149639,8.753534,0.098131984,0.18306732,0.3894154,867.0786,843.5324,8,4
34,127,5.534428,6.937907,1756.4231,1.7544707,2.889951,2.6902997,0.08269221,0.1421066,0.39290643,912.719,1756.4231,14,3
35,128,5.4634995,6.6862383,932.1748,1.416578,1.9859649,16.216303,0.10986133,0.17486164,0.2867054,1079.3833,932.1748,14,3
36,129,5.5674343,6.807864,4069.8162,2.244678,4.117599,-9.341163,0.061082166,0.08158353,0.45485756,1049.8969,4069.8162,14,3
39,165,5.566338,6.774755,3318.356,2.4127846,3.4865952,-4.0260787,0.07540652,0.101790614,0.3079826,953.11554,3318.356,17,25
40,166,5.448751,6.370408,1668.627,1.8787547,2.5151749,3.1826074,0.09191751,0.12656122,0.25303215,1012.3851,1668.627,17,25
41,167,5.823913,6.544798,2201.4038,1.8771838,3.140538,6.4447904,0.08182787,0.15059108,0.40227318,981.3006,2201.4038,17,25
42,168,5.544094,6.123732,2022.8241,1.9473152,2.8180585,8.3949995,0.09143647,0.14403625,0.30898693,1071.6858,2022.8241,17,25
43,169,5.4293528,6.243184,3182.3765,2.088272,3.107377,-2.7842345,0.06850127,0.09782867,0.32796308,1240.3943,3182.3765,17,25
44,170,5.3758235,5.753966,1041.936,1.5053622,2.6241758,13.556889,0.10715497,0.23296832,0.4263486,906.1554,1041.936,17,25
45,171,5.6806617,6.25837,1662.6747,1.8645232,2.4362137,2.6405752,0.09066888,0.12086909,0.23466355,992.40454,1662.6747,17,25
46,172,5.4533463,7.1237845,1771.9991,1.9034381,2.8298614,3.4630127,0.09054586,0.14094394,0.3273741,891.2314,1771.9991,17,25
48,173,5.543904,7.0029216,2412.7688,1.7010046,2.8417213,0.7401617,0.06665802,0.11157252,0.4014175,1485.9786,2412.7688,17,25
50,174,5.39198,6.561967,1561.9172,1.8993685,2.7550592,8.135292,0.10337094,0.16534454,0.31058887,932.34827,1561.9172,17,25
51,175,5.333973,6.1201463,1335.9584,1.4866669,2.4505246,12.060278,0.0888295,0.16968942,0.39332706,1031.7242,1335.9584,17,25
52,176,5.268758,6.166894,4049.994,2.6124532,3.3568184,-14.958574,0.062266894,0.063708566,0.22174723,927.49084,4049.994,17,25
53,177,5.6476517,6.500975,2100.0435,1.9312843,3.08072,7.056503,0.08732417,0.15356506,0.37310618,1161.5049,2100.0435,17,25
54,178,5.7904806,6.724393,2305.8325,1.882704,3.5324798,6.976907,0.080388516,0.17256373,0.4670305,1125.7372,2305.8325,17,25
55,179,5.8438654,7.0277395,1722.3135,1.9129411,2.9372895,7.0427384,0.096943706,0.16443472,0.34873933,857.37415,1722.3135,17,25
56,180,5.8161798,6.858027,1108.1989,1.5320611,2.7484941,13.021044,0.10462582,0.23577979,0.44258165,905.19836,1108.1989,17,25
58,181,5.558081,6.648241,2984.4666,2.1390016,3.8084793,-1.7836329,0.0730182,0.12343931,0.4383581,1005.14026,2984.4666,17,25
59,182,5.539452,7.045049,3228.5415,2.2466323,4.1448846,-3.8267627,0.07186508,0.11624223,0.4579747,921.8778,3228.5415,17,25
60,183,5.496462,6.40307,2653.8203,1.9650084,2.7767057,1.986078,0.07419889,0.106313184,0.29232386,1438.5648,2653.8203,17,25
61,184,5.5491676,6.5551305,3039.1338,1.9665678,3.1172464,1.8730278,0.06914581,0.11155709,0.36913303,1438.0066,3039.1338,17,25
63,185,5.60802,6.308457,1088.8402,1.4598014,2.4394875,11.739139,0.098342896,0.19449681,0.40159503,1030.111,1088.8402,17,25
65,186,5.6410704,5.817357,1435.2205,1.7015879,3.0259736,7.986092,0.095438644,0.19881712,0.4376726,841.1364,1435.2205,17,25
66,187,5.614319,6.6688647,2133.8606,1.9977219,3.078405,5.3149905,0.08810582,0.14591609,0.3510529,848.8113,2133.8606,17,25
67,188,6.081434,7.4732356,3184.2375,2.3912106,3.3776138,-3.612312,0.07664877,0.102307364,0.29204145,918.59454,3184.2375,17,25
69,189,5.665075,6.979634,1367.8342,1.7594118,2.550963,14.511059,0.11046582,0.18457104,0.31029502,1043.1302,1367.8342,17,25
76,202,5.9999704,7.539555,943.7135,1.3119197,2.7848024,12.588669,0.09545697,0.27053097,0.52890027,840.2548,943.7135,27,3
77,203,5.8439035,7.6340613,2662.216,2.3271422,3.4170911,-3.4178646,0.081309125,0.111147285,0.31896982,877.95667,2662.216,27,3
78,204,5.987826,7.243496,3570.194,2.4773734,4.175673,-5.975755,0.07268618,0.10106737,0.4067128,868.8619,3570.194,27,3
83,213,6.7231135,19.228174,1472.8776,1.5527334,2.9011807,9.200894,0.085718766,0.18953428,0.46479258,966.4558,1472.8776,31,14
84,214,6.7796607,19.04886,1563.1432,1.6878784,2.3830607,5.8784137,0.08780413,0.13085274,0.29171827,1014.83545,1563.1432,31,14
85,215,6.8093667,19.149828,2136.6902,1.7008485,2.8564165,1.9718364,0.07172779,0.12325078,0.40455166,1247.3942,2136.6902,31,14
86,216,6.8492584,19.3153,2365.4978,1.7860419,2.7488546,4.4644704,0.07314183,0.11757345,0.35025963,1424.1766,2365.4978,31,14
87,217,6.950183,19.230326,2558.5994,2.029963,2.9061866,-3.929834,0.07286212,0.09827275,0.30150285,1165.2859,2558.5994,31,14
88,218,6.906252,19.611526,2780.1108,1.69087,3.030018,-1.1566716,0.0608108,0.105843164,0.44196042,1619.6987,2780.1108,31,14
89,219,6.4881377,19.241686,2319.9885,1.8899916,3.0642319,-0.088474855,0.07477389,0.12018197,0.38320866,992.7897,2319.9885,31,14
90,220,6.644804,19.148067,1559.1946,1.6504364,2.212262,5.4493804,0.085379116,0.11891964,0.25395977,1351.7869,1559.1946,31,14
91,221,6.7613063,20.0527,2115.7673,1.6495748,3.3371866,1.8394898,0.0698234,0.14647809,0.505699,880.37683,2115.7673,31,14
93,222,6.8817105,19.294365,1564.5333,1.6124954,2.1912835,13.418876,0.08990428,0.13295741,0.264132,1326.3309,1564.5333,31,14
95,223,6.771702,19.989504,2095.218,1.8020436,1.9368248,14.657847,0.08668344,0.09473753,0.069588766,1823.331,2095.218,31,14
96,224,6.5281363,19.072945,1066.9141,1.2885587,1.9788694,11.585517,0.08582874,0.14666374,0.34884095,1266.6989,1066.9141,31,14
97,225,6.70517,19.174778,1590.3595,1.6356672,2.5371919,6.2354574,0.084325686,0.1408804,0.3553238,1217.1245,1590.3595,31,14
