,frame,x,y,photons,sx,sy,bg,lpx,lpy,ellipticity,net_gradient,mass,particle,length
0,0,8.021475,9.94711,2857.0564,2.1515548,2.8577316,-3.3541665,0.07352519,0.09413362,0.24711095,1423.8507,2857.0564,0,26
1,1,8.114729,10.075243,2808.9197,2.0114274,2.3748777,-1.066295,0.07149071,0.08379845,0.15303957,1923.5575,2808.9197,0,26
2,2,8.059363,9.967244,3800.2363,2.3794541,3.0409846,-9.391309,0.06554651,0.076708645,0.21753825,1517.8601,3800.2363,0,26
3,3,8.146896,10.479601,2876.7158,2.2737532,2.76682,-4.2431974,0.07603735,0.089561716,0.17820704,1347.4354,2876.7158,0,26
4,4,8.08133,9.794262,6284.1064,2.5408635,3.168863,-23.117178,0.04941316,0.052078854,0.19817819,2027.2272,6284.1064,0,26
5,5,8.199575,9.8564005,5817.0376,2.3568301,3.112866,-21.790428,0.049164996,0.05368358,0.24287452,2196.839,5817.0376,0,26
6,6,7.903068,9.975153,3118.2617,1.9983641,2.3470175,-2.5984058,0.06652261,0.07717508,0.1485517,2156.6821,3118.2617,0,26
7,7,8.001233,10.021481,4251.9053,2.229241,2.7109914,-9.674496,0.05948586,0.06877099,0.1777027,2132.6926,4251.9053,0,26
8,8,7.811146,10.13571,2848.6736,2.0012047,2.8178177,-2.2186444,0.06980633,0.095549494,0.28980333,1568.1874,2848.6736,0,26
9,9,8.109519,10.067012,2755.208,2.2205887,2.8860488,-6.3824754,0.073541276,0.08868699,0.23057826,1278.0599,2755.208,0,26
10,10,8.00453,10.039151,2220.5342,1.8995675,2.3992758,2.8575163,0.079424165,0.10170708,0.20827463,1627.6233,2220.5342,0,26
11,11,7.9297676,10.184821,4918.102,2.2347932,2.915208,-10.532874,0.055736385,0.06776559,0.23340183,2309.397,4918.102,0,26
12,12,8.041614,10.203136,6053.3174,2.3855743,2.9740396,-15.846179,0.05164192,0.05925745,0.19786732,2490.3118,6053.3174,0,26
13,13,7.977671,10.359502,3561.309,2.086507,2.358075,-0.8302491,0.066067405,0.07436344,0.115165055,2240.2866,3561.309,0,26
14,14,7.9321647,10.157041,4583.187,2.3984737,3.0385716,-16.482792,0.05642781,0.06167707,0.21065749,1802.6906,4583.187,0,26
15,15,7.90836,10.309245,5650.282,2.3772614,3.151453,-12.5524,0.054394234,0.065725885,0.2456618,1897.6172,5650.282,0,26
16,16,8.029496,10.064638,4846.834,2.3276927,2.9094796,-12.912558,0.056564722,0.06520711,0.19996251,1874.5692,4846.834,0,26
17,17,7.897032,10.441243,6243.26,2.457253,3.208896,-19.968315,0.050212007,0.056008603,0.23423724,1899.6858,6243.26,0,26
18,18,8.10668,10.316691,8422.747,2.7082076,3.5249646,-25.786177,0.046108667,0.04921031,0.23170643,1913.7131,8422.747,0,26
19,19,8.147133,10.086606,5032.9385,2.1785924,2.797394,-7.9230657,0.055183135,0.067851156,0.22120644,2527.9617,5032.9385,0,26
20,20,8.066802,10.249184,2282.7063,1.8393368,2.2708182,3.190324,0.07595553,0.094904035,0.19001146,1821.6617,2282.7063,0,26
21,21,8.218561,10.397261,7314.06,2.726675,3.4681754,-26.183603,0.047583144,0.04773658,0.2138013,1949.3972,7314.06,0,26
22,22,8.123402,10.144424,5170.944,2.4782946,3.366637,-20.024773,0.053119235,0.054253317,0.2638664,1461.5637,5170.944,0,26
23,23,8.153846,10.243879,4998.507,2.6574516,2.9955533,-18.789354,0.056148928,0.057807237,0.11286784,1602.1357,4998.507,0,26
24,24,7.757349,10.170132,2868.1956,1.7619606,2.5692878,6.160396,0.06583556,0.09984215,0.31422216,2042.0287,2868.1956,0,26
25,25,8.161441,10.380622,5186.192,2.3379278,3.0995624,-12.292336,0.055651058,0.06698065,0.24572326,2052.9788,5186.192,0,26
26,27,8.009074,10.25848,2886.3423,2.1615093,2.9565656,-6.546493,0.0704613,0.08828777,0.26891214,1299.0859,2886.3423,1,18
27,28,8.094503,9.917061,3599.2888,2.1207168,2.8658016,-2.2219696,0.065910615,0.08718931,0.25999174,1836.264,3599.2888,1,18
28,29,7.9504395,10.58092,5776.501,2.8321908,3.5109353,-19.267708,0.055516385,0.056289848,0.193323,1295.9364,5776.501,1,18
29,30,8.081991,10.460571,9911.691,3.0980232,3.6165285,-43.778423,0.03706067,0.028999323,0.143371,1956.6877,9911.691,1,18
30,31,8.089163,10.244685,5259.1255,2.0889153,2.5693235,-6.0929036,0.05279643,0.063439555,0.18697847,3117.8882,5259.1255,1,18
31,32,8.029084,10.467283,7050.2935,2.5107565,2.9427314,-24.658485,0.046945386,0.050031215,0.14679386,2095.94,7050.2935,1,18
32,33,8.188953,9.842875,4136.1094,2.154437,2.7870734,-8.410188,0.059245724,0.07229054,0.22698946,2117.9978,4136.1094,1,18
33,34,8.155139,10.292741,2946.017,1.7875006,2.2204623,3.7216618,0.064718604,0.08119722,0.1949872,2485.7605,2946.017,1,18
34,35,7.9580703,10.235575,3386.843,1.9404407,2.7017007,0.08932972,0.06360942,0.08815673,0.28177068,2057.7012,3386.843,1,18
35,36,8.153661,10.155081,4730.9688,2.2501657,2.8777564,-7.8103366,0.058337893,0.07112852,0.21808332,2186.9587,4730.9688,1,18
36,37,8.231178,10.11498,5719.0063,2.4692297,3.0539823,-17.590147,0.05300772,0.058792442,0.19147216,2063.0195,5719.0063,1,18
37,38,8.191448,10.100657,4744.118,2.2278008,3.0441153,-12.575126,0.055379674,0.06747043,0.26816148,1843.7124,4744.118,1,18
38,39,8.032592,10.284228,3366.47,1.9281589,2.693575,2.2251732,0.06447656,0.09100766,0.28416362,2130.8594,3366.47,1,18
39,40,8.087148,10.252375,3743.999,2.413011,2.7989082,-10.500603,0.06553861,0.071822554,0.13787417,1586.0061,3743.999,1,18
40,41,8.188958,9.812567,4526.0894,2.3170505,3.060561,-9.526803,0.059900884,0.0730494,0.24293275,1877.2269,4526.0894,1,18
41,42,8.075813,10.196194,2430.9348,1.9324403,2.627279,1.1790586,0.07569668,0.103475936,0.26447088,1568.8715,2430.9348,1,18
42,43,7.9334006,10.127979,4334.0664,2.3603482,3.5923595,-8.525263,0.06252546,0.082503244,0.34295323,1410.2803,4334.0664,1,18
43,44,8.040275,10.152249,4350.541,2.5331032,3.266735,-13.162695,0.061929844,0.068893276,0.22457647,1410.924,4350.541,1,18
71,670,6.9076695,13.408288,2846.8665,2.3911903,2.9887521,-7.3823123,0.07552757,0.08682497,0.1999369,830.41675,2846.8665,27,3
72,671,6.9426937,13.158225,1510.8955,1.9656992,2.4838452,-0.23901778,0.09595364,0.12045267,0.2086064,969.17346,1510.8955,27,3
73,672,7.211517,13.59565,2291.1685,2.0153754,2.7718244,-0.38120183,0.07981118,0.10877526,0.27290654,1263.1995,2291.1685,27,3
93,951,7.1380925,2.7938118,1952.283,1.8086013,2.53141,15.390791,0.09161294,0.14274196,0.28553602,1475.689,1952.283,44,3
94,952,7.297689,2.155853,2647.096,2.1409822,3.5684447,3.454529,0.0825145,0.14590015,0.40002373,941.2689,2647.096,44,3
95,953,7.324769,3.1588297,1552.0408,1.7220373,2.927874,10.359286,0.0948346,0.18980351,0.4118472,975.4593,1552.0408,44,3
101,1021,7.4240446,3.0534918,2013.3834,1.8410594,3.150253,1.99492,0.08019492,0.14195094,0.41558364,987.71216,2013.3834,50,3
102,1022,7.464502,1.6042668,3907.344,2.002534,5.432109,2.534909,0.062167324,0.18502668,0.6313524,924.3014,3907.344,50,3
103,1023,7.094391,12.483152,1820.2859,2.1044147,2.8896165,-4.2893095,0.0865357,0.108834125,0.27173218,833.3088,1820.2859,51,5
104,1023,7.603574,2.6847873,2363.567,2.058527,3.006121,4.546276,0.085227184,0.13085087,0.3152215,1127.2566,2363.567,50,3
105,1024,7.3687534,12.454873,4506.351,2.768733,3.6953928,-18.465319,0.05804761,0.047037717,0.25076085,995.83765,4506.351,51,5
106,1025,7.1847444,11.909503,2349.6597,2.0688698,3.2212446,1.8017191,0.08315869,0.13275017,0.35774207,1027.0385,2349.6597,51,5
107,1026,7.2011814,11.509936,5042.385,2.5865426,4.3483663,-15.43184,0.05810776,0.04886622,0.4051691,945.7811,5042.385,51,5
108,1027,7.229856,11.618041,1246.4417,1.687827,2.74674,5.0919223,0.09889546,0.1770444,0.38551632,836.81647,1246.4417,51,5
208,2551,7.676379,13.888864,1127.8564,1.6445302,1.9261198,3.140534,0.09875743,0.11723432,0.14619528,1143.5736,1127.8564,131,3
209,2552,7.672124,13.610048,1166.7277,1.6968999,2.1621876,3.7543018,0.10122229,0.13281535,0.21519302,1022.8417,1166.7277,131,3
210,2553,7.356913,13.673744,1255.8036,1.677788,2.2176003,1.4863517,0.09275737,0.12387273,0.24342182,1008.05786,1255.8036,131,3
211,2555,7.7253685,13.635734,1567.8126,1.7128384,2.1312172,0.57457536,0.08336297,0.10363936,0.1963098,1347.032,1567.8126,132,14
212,2556,7.5102224,13.496856,2182.1301,1.71664,2.043422,3.67991,0.07276029,0.087430246,0.159919,1883.9792,2182.1301,132,14
213,2557,7.3082027,13.859703,2023.9203,2.0227897,2.3977146,-2.6607769,0.08225203,0.09557955,0.15636761,1275.3381,2023.9203,132,14
214,2558,7.5221457,13.718759,1508.2633,1.7353008,2.0443718,0.67135215,0.08623935,0.10158046,0.15118143,1318.9126,1508.2633,132,14
215,2559,7.4301176,13.392068,1478.2037,1.6293033,1.9006776,4.850946,0.08615227,0.10204973,0.14277762,1557.1185,1478.2037,132,14
216,2560,7.6918764,13.591276,1176.7079,1.5057049,1.8833002,4.5191293,0.089490786,0.11458981,0.20049661,1263.2721,1176.7079,132,14
217,2561,7.6644235,13.66696,1438.4469,1.5301139,1.958984,1.5307093,0.078814246,0.10130894,0.21892475,1489.1444,1438.4469,132,14
218,2562,7.573955,13.638424,1540.444,1.6241424,1.9125663,4.1619034,0.083268486,0.099344164,0.15080465,1570.5105,1540.444,132,14
219,2563,7.47851,13.515786,1341.8333,1.627867,2.0952246,2.1197612,0.0876624,0.114181474,0.22305849,1126.7935,1341.8333,132,14
220,2564,7.7438436,13.609831,1713.0826,1.6094229,1.9420121,-0.006342478,0.074486986,0.08943727,0.17126009,1695.1635,1713.0826,132,14
221,2565,7.622916,13.794686,1409.8385,1.8748999,1.9469016,-0.6356368,0.094166435,0.097612746,0.03698271,1190.3232,1409.8385,132,14
222,2566,7.3979197,13.832703,852.66437,1.5070802,1.822113,6.759527,0.11139868,0.14001927,0.17289424,983.588,852.66437,132,14
223,2567,7.634139,13.613685,1634.843,1.8786544,2.3768632,-1.8690422,0.08601335,0.10636178,0.20960772,1037.4792,1634.843,132,14
