particle,,dframe,dx,dy,step_len
0,0,1,-0.26229477,-0.81581116,0.85694015
0,1,1,0.22354889,0.040668488,0.22721803
0,2,1,0.18676758,0.092796326,0.20855044
0,3,1,-0.23851013,-0.2611313,0.35366175
0,4,1,0.34134483,-0.8604641,0.9256969
1,0,1,0.45781326,0.6306076,0.7792682
1,1,1,-0.87579536,-1.4142971,1.6635065
1,2,1,0.39145088,0.6173744,0.7310164
1,3,1,-0.067466736,-0.65127754,0.65476274
1,4,1,-0.34087944,0.41740036,0.538908
1,5,1,0.3595543,-0.009353638,0.3596759
1,6,1,0.23390388,0.26341057,0.35227284
1,7,1,-0.22092628,-0.029504776,0.22288777
1,8,1,-0.3009796,0.013221741,0.3012699
1,9,1,0.22182655,-0.22189331,0.31375733
1,10,1,-0.054447174,-0.008951187,0.05517806
1,11,1,0.18084717,0.3487816,0.3928795
1,12,1,-0.08813858,-0.32993317,0.341503
1,13,1,-0.043193817,-0.21619034,0.22046308
1,14,1,0.28562737,0.24251175,0.37469313
1,15,1,0.23758316,-0.0690918,0.24742562
1,16,1,-0.038541794,-0.03805542,0.0541635
1,17,1,-0.13803864,-0.039253235,0.14351125
1,18,1,0.013471603,0.25227547,0.2526349
5,0,1,-0.08548164,0.24481201,0.25930682
5,1,1,0.65685844,-0.3828354,0.7602802
5,2,1,-0.23002052,0.29268074,0.37225187
5,3,1,-0.20266724,-0.4746189,0.5160786
5,4,1,0.046783447,-0.012191772,0.048345942
5,5,1,0.14847183,-0.28285408,0.31945315
6,0,1,0.0037670135,0.07816315,0.07825387
6,1,1,-0.18377686,-0.098163605,0.20835073
7,0,1,-0.18225479,-0.07880783,0.19856355
7,1,1,-0.036994934,-0.008752823,0.03801627
7,2,1,0.023399353,0.12709045,0.1292266
7,3,1,0.10349083,0.109767914,0.15086202
7,4,1,0.046361923,-0.52939415,0.53142035
7,5,1,-0.36389732,-0.07418442,0.371382
7,6,1,0.26296997,0.099378586,0.28112152
9,0,1,0.42320633,-0.022396088,0.42379853
9,1,1,-0.37110138,0.5824528,0.6906283
9,2,1,0.30332184,-0.57828903,0.65301025
9,3,1,0.04903221,0.1506958,0.15847202
9,4,1,-0.12760544,-0.68367004,0.6954767
9,5,1,0.16002655,0.20928192,0.2634529
9,6,1,-0.114112854,-0.17891312,0.21220662
9,7,1,0.0019054413,-0.1355381,0.1355515
9,8,1,-0.028741837,0.22944832,0.2312415
18,0,1,0.09487343,0.38145638,0.39307752
18,1,1,0.032398224,-0.19192123,0.1946366
18,2,1,0.11026001,0.018892288,0.11186683
18,3,1,-0.66358566,0.29960442,0.7280857
18,4,1,0.121385574,0.48046303,0.49555945
18,5,1,0.06726265,0.117479324,0.13537228
18,6,1,0.08248711,-0.32204056,0.33243683
18,7,1,-0.16271019,-0.4866066,0.51308924
22,0,1,-0.15272713,-0.78678894,0.80147517
22,1,1,0.5677185,1.3160744,1.4333025
22,2,1,0.035308838,-0.14011383,0.14449428
22,3,1,-0.049261093,-0.17876053,0.18542379
22,4,1,-0.044742584,0.34693146,0.3498047
22,5,1,0.37553787,0.44917297,0.5854785
22,6,1,-0.22961426,-0.6072731,0.64923286
25,0,1,-0.14182472,-0.4756317,0.4963263
25,1,1,-0.5148716,-0.8858509,1.0246094
27,0,1,-0.5159836,-0.18302155,0.5474814
27,1,1,0.2301197,0.1865654,0.29624605
27,2,1,0.0045490265,0.26143646,0.26147604
27,3,1,0.19970703,-0.29605484,0.35711533
27,4,1,0.07459068,0.40086365,0.40774432
27,5,1,-0.34368324,-0.32961273,0.4761961
27,6,1,0.14580917,0.049884796,0.15410648
27,7,1,0.0644474,-0.23563385,0.24428831
27,8,1,-0.25357437,-0.13968277,0.2895017
27,9,1,0.26096153,0.42411423,0.4979697
30,0,1,0.5074539,0.6622658,0.8343293
30,1,1,0.1565876,-0.38598824,0.41654125
35,0,1,0.28606033,0.32030106,0.42944533
35,1,1,-0.34947968,-0.66579056,0.7519396
35,2,1,0.30874443,0.65922165,0.7279398
39,0,1,-0.29364777,-0.055669785,0.29887813
39,1,1,0.14805794,0.55492973,0.57434154
39,2,1,0.25806046,-0.31046104,0.40370938
39,3,1,-0.060655594,-0.18338585,0.1931566
39,4,1,0.119615555,0.30316925,0.32591328
39,5,1,-0.65096664,0.065704346,0.65427417
39,6,1,0.93005943,-0.7932358,1.2223885
41,0,1,-0.14643478,0.7086811,0.7236519
41,1,1,0.15361404,-0.51397705,0.5364417
41,2,1,0.15406036,-0.35194778,0.38418984
43,0,1,-0.17972183,0.008199692,0.17990878
43,1,1,0.2019844,-0.20152283,0.28532287
43,2,1,-0.22970581,-0.3249607,0.39795002
43,3,1,0.46889114,0.021728516,0.46939433
43,4,1,-0.1264286,-0.14814186,0.19475679
43,5,1,-0.23904228,-0.016260147,0.23959467
43,6,1,-0.08020401,-0.2516117,0.26408547
43,7,1,0.11441612,0.6918316,0.7012289
