,frame,x,y,photons,sx,sy,bg,lpx,lpy,ellipticity,net_gradient,mass,particle,length
0,0,17.876688,21.124262,5596.129,3.0191996,3.3497822,-23.948727,0.050910477,0.047646776,0.0986878,1193.8733,5596.129,0,6
1,0,18.956131,29.49153,984.3899,1.5286148,2.0369742,13.513601,0.11334061,0.16687085,0.24956596,1013.84894,984.3899,1,20
2,1,17.614393,20.30845,1578.0576,1.9638922,2.0837228,6.871498,0.10502908,0.11263528,0.05750794,1119.5281,1578.0576,0,6
3,1,19.413944,30.122137,833.2635,1.9069492,1.8346747,14.5591545,0.17451781,0.16510348,0.037900563,849.69165,833.2635,1,20
4,2,17.837942,20.34912,1302.0996,1.864828,1.775926,19.240345,0.13021731,0.121727526,0.047673028,1343.3044,1302.0996,0,6
5,2,18.538149,28.70784,2480.5059,2.4310005,2.4994512,0.033939384,0.092738666,0.09531724,0.027386287,1064.6733,2480.5059,1,20
7,3,18.02471,20.441916,1186.9364,1.9910902,1.843243,10.57515,0.1353051,0.12247016,0.074254386,1006.4539,1186.9364,0,6
8,3,18.9296,29.325214,1006.07135,1.9385048,1.626393,23.775211,0.17605467,0.13576661,0.1610065,1103.2627,1006.07135,1,20
10,4,18.862133,28.673937,1604.3237,2.0483506,2.1865575,4.5822525,0.10546086,0.113569565,0.06320756,1030.2344,1604.3237,1,20
9,4,17.7862,20.180784,4547.567,2.9543092,3.1465492,-10.75004,0.06971773,0.07212189,0.061095502,1175.7283,4547.567,0,6
11,5,18.127544,19.32032,4301.895,2.4815898,2.8328989,-13.4046135,0.06115844,0.06563533,0.12401045,1433.5741,4301.895,0,6
12,5,18.521254,29.091337,1204.9343,1.9915836,1.7625672,18.07974,0.14904967,0.12562901,0.11499212,1025.0305,1204.9343,1,20
13,6,18.880808,29.081984,3129.174,2.305224,2.8444998,-2.655847,0.07573418,0.09152777,0.18958549,1330.5394,3129.174,1,20
14,7,19.114712,29.345394,2781.7637,2.4728103,2.3846722,-0.13840999,0.08881267,0.08570343,0.03564289,1405.463,2781.7637,1,20
15,8,18.893785,29.31589,3537.188,2.5384867,2.7304766,-5.4561276,0.07501498,0.07957504,0.07031369,1302.6049,3537.188,1,20
18,9,18.592806,29.329111,1452.7188,1.9709463,1.7425375,15.492532,0.12458532,0.105958395,0.115887895,1413.9717,1452.7188,1,20
20,10,18.814632,29.107218,1758.8491,1.7811983,2.2433589,18.965607,0.09924252,0.13567516,0.20601277,1407.1978,1758.8491,1,20
21,11,18.760185,29.098267,2152.0369,1.7858361,2.3280773,13.375303,0.083435796,0.116142206,0.23291375,1578.8322,2152.0369,1,20
22,12,18.941032,29.447048,3932.438,2.4759626,3.0700467,-6.1250796,0.06963833,0.082445025,0.19350977,1331.3706,3932.438,1,20
23,13,18.852894,29.117115,3933.1177,2.5895336,2.7743878,-10.226165,0.06786591,0.07086687,0.06662885,1224.3534,3933.1177,1,20
24,14,17.804914,20.611809,3715.7502,2.4514577,2.5847616,-5.3185577,0.071494475,0.07474442,0.05157299,1295.3834,3715.7502,5,7
25,14,18.8097,28.900925,1711.9491,1.8290818,2.1991034,9.847202,0.09543113,0.119600505,0.1682602,1184.9669,1711.9491,1,20
26,15,17.719433,20.85662,2500.2422,2.4645698,2.2603102,11.902055,0.111287475,0.09982053,0.08287841,1192.6743,2500.2422,5,7
27,15,19.095327,29.143436,4157.199,2.457724,3.5491343,-3.9881396,0.06930015,0.09476149,0.3075145,1104.9656,4157.199,1,20
28,16,18.376291,20.473785,2717.266,2.3677673,2.4473817,1.0615324,0.08762925,0.09062612,0.03253044,1224.1804,2717.266,5,7
29,16,19.33291,29.074345,2140.8628,1.9602304,2.2435572,4.0701504,0.08490003,0.09832025,0.12628466,1367.6229,2140.8628,1,20
30,17,18.14627,20.766466,6841.498,2.9031677,3.2700632,-32.17289,0.043822333,0.03985071,0.11219827,1441.608,6841.498,5,7
31,17,19.294369,29.03629,2735.6572,2.364656,2.5807886,-3.4607303,0.08140748,0.08779439,0.083746746,1253.8711,2735.6572,1,20
33,18,19.15633,28.997036,1358.4318,1.6332765,1.766289,13.226883,0.09963327,0.10991065,0.075306214,1320.4468,1358.4318,1,20
32,18,17.943604,20.291847,3511.6877,2.433395,2.5500636,-13.527277,0.06396607,0.06539647,0.045751292,1382.2092,3511.6877,5,7
34,19,17.990387,20.279655,2042.2245,1.9766634,2.4838283,8.165569,0.092275396,0.12138263,0.2041868,1124.6328,2042.2245,5,7
35,19,19.169802,29.249311,1592.8774,1.9577588,2.2391872,7.1803474,0.10451339,0.12277601,0.12568331,1069.8754,1592.8774,1,20
36,20,18.138859,19.996801,1538.6669,2.0860999,2.232058,13.737991,0.12643659,0.13852504,0.06539175,1044.686,1538.6669,5,7
37,23,19.069468,28.926641,3589.8628,2.7536657,2.8277507,-11.447514,0.07048933,0.071327314,0.026199268,1086.3353,3589.8628,6,3
38,24,19.073235,29.004805,2129.535,2.2478724,2.3289757,8.651865,0.10538319,0.1100194,0.034823604,1286.1272,2129.535,6,3
39,25,18.889458,28.906641,1601.3817,1.8397452,2.1540873,7.963307,0.09786365,0.1181944,0.14592823,1175.3041,1601.3817,6,3
40,27,18.179928,20.344355,3022.098,2.4928463,2.3597689,3.578165,0.09050023,0.08531449,0.05338371,1676.2275,3022.098,7,8
42,28,17.997673,20.265547,1361.2306,1.9271954,1.9711989,15.911252,0.12705573,0.13102013,0.02232321,1332.4529,1361.2306,7,8
43,29,17.960678,20.256794,1913.5109,1.9008789,1.9843931,3.069664,0.086283095,0.09029519,0.042085517,1612.4084,1913.5109,7,8
44,30,17.984077,20.383884,1227.6372,1.9637195,1.8303363,8.220785,0.12516072,0.11478883,0.06792373,886.04443,1227.6372,7,8
45,31,18.087568,20.493652,1437.2632,1.780914,1.7908556,11.309755,0.104728475,0.105450764,0.005551367,1300.7795,1437.2632,7,8
46,32,18.13393,19.964258,1491.2346,1.9785564,1.9352106,9.62925,0.11406811,0.11098677,0.021907795,1042.7327,1491.2346,7,8
47,33,17.770033,19.890074,3584.9153,2.640362,2.5497193,-8.367261,0.0732684,0.07149584,0.034329645,1417.2965,3584.9153,7,8
48,33,18.973152,28.612173,1806.4185,2.4518685,2.2731767,5.9880047,0.12419058,0.113480486,0.07287987,830.41614,1806.4185,9,10
49,34,18.033003,19.989452,2243.3027,2.2884336,2.1587057,3.9148014,0.097668976,0.09163956,0.056688488,1069.3694,2243.3027,7,8
50,34,19.396358,28.589777,856.0986,1.559386,1.833752,13.631818,0.12790261,0.15941732,0.14962003,1071.3643,856.0986,9,10
51,35,19.025257,29.17223,890.91315,1.6940787,1.6905154,18.012684,0.14742786,0.14698894,0.0021033762,1100.3907,890.91315,9,10
53,36,19.328579,28.59394,2007.5222,2.1740882,1.9802883,0.15397145,0.09253912,0.08440321,0.0891408,922.971,2007.5222,9,10
54,37,19.377611,28.744637,2391.5432,2.1623864,2.6370711,3.9716897,0.08869209,0.110415004,0.18000452,1057.8915,2391.5432,9,10
